transaction_id,date,vendor_name,description,amount,department,category
1343,2024-12-28,ADP Workforce,HR software license,13427.98,IT,HR & Training
1344,2024-03-09,American Airlines,car rentals fleet,8802.01,R&D,Travel
1345,2024-08-18,Accenture,legal counsel services,100538.82,Procurement,Professional Services
1346,2024-12-10,Maersk,international freight QQ2,8906.15,Executive,Logistics/Freight
1347,2024-10-27,Aetna Health,dental and vision coverage,163860.36,Sales,Healthcare & Benefits
1348,2024-01-08,PwC Advisory,legal counsel services,52446.32,HR,Professional Services
1349,2024-12-26,Deloitte Consulting,audit and advisory fees,107387.68,HR,Professional Services
1350,2024-09-30,Publicis Media,media buying QQ3,25936.4,Procurement,Marketing
1351,2024-08-26,Aramark,security services,26718.73,Finance,Facilities
1352,2024-01-24,United Airlines,hotel accommodations,5380.91,Executive,Travel
1353,2024-10-26,McKinsey & Co,legal counsel services,87463.62,Executive,Professional Services
1354,2024-07-13,Dentsu Inc,brand strategy project,23142.59,Executive,Marketing
1355,2024-09-07,PwC Advisory,legal counsel services,116870.49,Legal,Professional Services
1356,2024-10-06,Marriott Hotels,sales team flights,2959.42,Legal,Travel
1357,2024-02-08,Atlassian,collaboration software,7536.78,Operations,IT Software
1358,2024-03-18,Amazon Business,printer cartridges QQ2,1009.76,Operations,Office Supplies
1359,2024-11-22,KPMG,legal counsel services,18463.02,Executive,Professional Services
1360,2024-07-29,Hilton Worldwide,executive travel QQ1,8450.97,Operations,Travel
1361,2024-01-09,Quill Corp,whiteboard supplies,7831.1,Sales,Office Supplies
1362,2024-05-03,Publicis Media,digital advertising campaign,33841.2,HR,Marketing
1363,2024-07-22,MetLife,prescription drug plan,64455.08,Finance,Healthcare & Benefits
1364,2024-12-22,Honeywell Materials,packaging materials,35239.28,HR,Raw Materials
1365,2024-07-12,CBRE Group,building maintenance contract,13347.79,Sales,Facilities
1366,2024-08-10,American Airlines,sales team flights,2157.61,Procurement,Travel
1367,2024-12-20,Aetna Health,dental and vision coverage,54112.16,Executive,Healthcare & Benefits
1368,2024-05-23,United Airlines,executive travel QQ1,10582.0,Sales,Travel
1369,2024-04-16,Aetna Health,prescription drug plan,17896.75,Executive,Healthcare & Benefits
1370,2024-05-03,ServiceNow,cybersecurity tools,17183.77,Executive,IT Software
1371,2024-03-12,Omnicom Group,creative production,46558.51,Finance,Marketing
1372,2024-02-08,Workday Inc,employee training program,18609.35,Procurement,HR & Training
1373,2024-05-19,MetLife,prescription drug plan,20480.75,Legal,Healthcare & Benefits
1374,2024-08-09,Marriott Hotels,conference registration,14176.0,IT,Travel
1375,2024-05-06,Cigna Corp,life insurance premium,69645.2,Finance,Healthcare & Benefits
1376,2024-11-20,UPS Supply Chain,last-mile delivery,18656.9,IT,Logistics/Freight
1377,2024-06-06,Dentsu Inc,digital advertising campaign,10033.62,Legal,Marketing
1378,2024-08-08,Dow Chemical,chemical feedstock order,17777.29,Legal,Raw Materials
1379,2024-06-30,Mercer,employee training program,2997.95,Sales,HR & Training
1380,2024-07-30,Maersk,last-mile delivery,3271.49,R&D,Logistics/Freight
1381,2024-12-16,Maersk,freight forwarding services,14464.3,R&D,Logistics/Freight
1382,2024-03-15,Salesforce,cybersecurity tools,25130.51,Finance,IT Software
1383,2024-02-09,ServiceNow,data analytics platform,27481.42,Procurement,IT Software
1384,2024-08-22,Jones Lang LaSalle,security services,19266.73,Finance,Facilities
1385,2024-11-13,Adobe Systems,data analytics platform,29916.29,R&D,IT Software
1386,2024-11-29,Honeywell Materials,adhesives and solvents,99333.25,Executive,Raw Materials
1387,2024-04-12,Adobe Systems,collaboration software,76045.92,Legal,IT Software
1388,2024-12-21,BASF Corp,specialty materials QQ4,40642.19,Legal,Raw Materials
1389,2024-07-20,UnitedHealth Group,wellness program,66855.53,Procurement,Healthcare & Benefits
1390,2024-04-02,Maersk,freight forwarding services,24939.83,Sales,Logistics/Freight
1391,2024-12-20,Amazon Business,ergonomic chairs,6482.64,Finance,Office Supplies
1392,2024-12-03,IPG Mediabrands,media buying QQ2,18311.16,IT,Marketing
1393,2024-09-02,IPG Mediabrands,creative production,59488.53,Executive,Marketing
1394,2024-07-03,Omnicom Group,social media management,7022.08,Sales,Marketing
1395,2024-06-30,Aetna Health,dental and vision coverage,136656.3,IT,Healthcare & Benefits
1396,2024-08-08,Aetna Health,prescription drug plan,193657.6,Finance,Healthcare & Benefits
1397,2024-09-22,Staples Inc,printer cartridges QQ3,4330.07,Sales,Office Supplies
1398,2024-08-25,MetLife,wellness program,84212.12,Executive,Healthcare & Benefits
1399,2024-05-31,Coursera Business,employee training program,20345.3,R&D,HR & Training
1400,2024-08-21,DHL Express,warehouse storage fees,9861.59,HR,Logistics/Freight
1401,2024-12-22,ADP Workforce,recruitment services QQ3,5709.68,Legal,HR & Training
1402,2024-02-28,3M Company,polymer resin batch,98740.82,Operations,Raw Materials
1403,2024-10-09,3M Company,chemical feedstock order,65791.32,IT,Raw Materials
1404,2024-07-26,Celanese,adhesives and solvents,33967.82,IT,Raw Materials
1405,2024-04-11,ServiceNow,annual software license renewal,60304.13,Legal,IT Software
1406,2024-04-15,Cigna Corp,employee health insurance QQ4,145376.09,Marketing,Healthcare & Benefits
1407,2024-06-15,Maersk,freight forwarding services,7113.12,HR,Logistics/Freight
1408,2024-11-23,American Airlines,car rentals fleet,8388.01,Procurement,Travel
1409,2024-06-29,Cigna Corp,life insurance premium,36132.93,Legal,Healthcare & Benefits
1410,2024-12-10,UnitedHealth Group,life insurance premium,124181.15,IT,Healthcare & Benefits
1411,2024-07-10,3M Company,specialty materials QQ2,21098.28,IT,Raw Materials
1412,2024-07-15,ADP Workforce,payroll processing,7238.96,R&D,HR & Training
1413,2024-05-27,ServiceNow,collaboration software,17514.91,IT,IT Software
1414,2024-07-02,Adobe Systems,collaboration software,9020.84,Operations,IT Software
1415,2024-09-15,Marriott Hotels,car rentals fleet,14493.61,Legal,Travel
1416,2024-02-12,IPG Mediabrands,creative production,31878.47,Executive,Marketing
1417,2024-10-02,Office Depot,office supplies bulk order,2561.4,Marketing,Office Supplies
1418,2024-10-20,ServiceNow,collaboration software,43310.45,Finance,IT Software
1419,2024-01-22,ABM Industries,security services,25033.11,Legal,Facilities
1420,2024-11-30,Coursera Business,employee training program,29967.57,HR,HR & Training
1421,2024-02-14,CBRE Group,HVAC repair and maintenance,11760.16,Legal,Facilities
1422,2024-12-29,FedEx Freight,freight forwarding services,18160.94,Executive,Logistics/Freight
1423,2024-01-31,Publicis Media,brand strategy project,49744.14,Executive,Marketing
1424,2024-06-14,Celanese,packaging materials,68342.08,Marketing,Raw Materials
1425,2024-12-13,ABM Industries,security services,29593.67,Finance,Facilities
1426,2024-03-05,ServiceNow,cybersecurity tools,70028.57,IT,IT Software
1427,2024-12-12,McKinsey & Co,audit and advisory fees,116606.3,R&D,Professional Services
1428,2024-02-08,Marriott Hotels,car rentals fleet,6252.41,Finance,Travel
1429,2024-09-06,Omnicom Group,media buying QQ3,30008.26,Procurement,Marketing
1430,2024-12-23,Aetna Health,wellness program,132445.5,Procurement,Healthcare & Benefits
1431,2024-04-18,Maersk,domestic shipping services,24298.83,Legal,Logistics/Freight
1432,2024-03-07,Aramark,HVAC repair and maintenance,17324.69,Executive,Facilities
1433,2024-08-23,United Airlines,executive travel QQ1,2394.05,Operations,Travel
1434,2024-08-07,FedEx Freight,last-mile delivery,3014.87,HR,Logistics/Freight
1435,2024-07-03,Adobe Systems,cybersecurity tools,12000.5,Marketing,IT Software
1436,2024-06-05,UPS Supply Chain,international freight QQ2,11719.51,HR,Logistics/Freight
1437,2024-02-09,WPP Group,digital advertising campaign,16738.16,IT,Marketing
1438,2024-06-24,UnitedHealth Group,employee health insurance QQ4,16491.58,Finance,Healthcare & Benefits
1439,2024-02-15,Publicis Media,digital advertising campaign,17592.08,Finance,Marketing
1440,2024-03-09,UPS Supply Chain,warehouse storage fees,6016.84,IT,Logistics/Freight
1441,2024-08-13,Maersk,freight forwarding services,17300.44,Procurement,Logistics/Freight
1442,2024-04-21,McKinsey & Co,tax advisory services,106119.26,Finance,Professional Services
1443,2024-06-28,FedEx Freight,freight forwarding services,19060.2,R&D,Logistics/Freight
1444,2024-05-07,BASF Corp,specialty materials QQ2,80197.5,Sales,Raw Materials
1445,2024-12-03,MetLife,employee health insurance QQ3,171860.04,Marketing,Healthcare & Benefits
1446,2024-01-28,KPMG,strategy engagement QQ2,51375.89,HR,Professional Services
1447,2024-10-31,Hilton Worldwide,sales team flights,7994.16,Finance,Travel
1448,2024-10-18,LinkedIn Learning,benefits administration,7015.35,R&D,HR & Training
1449,2024-02-07,Celanese,adhesives and solvents,114898.73,Operations,Raw Materials
1450,2024-01-31,Aetna Health,prescription drug plan,54912.44,R&D,Healthcare & Benefits
1451,2024-02-12,Workday Inc,recruitment services QQ4,28668.8,Sales,HR & Training
1452,2024-02-10,Mercer,benefits administration,5176.69,Sales,HR & Training
1453,2024-11-28,McKinsey & Co,strategy engagement QQ3,92101.2,Finance,Professional Services
1454,2024-08-10,Sodexo,building maintenance contract,8845.43,Finance,Facilities
1455,2024-12-02,Hertz,hotel accommodations,10325.11,IT,Travel
1456,2024-06-26,DHL Express,international freight QQ2,6604.32,Sales,Logistics/Freight
1457,2024-05-17,Workday Inc,benefits administration,6823.36,Finance,HR & Training
1458,2024-05-14,W.B. Mason,stationery and paper,4428.91,Executive,Office Supplies
1459,2024-09-12,XPO Logistics,freight forwarding services,10922.73,Executive,Logistics/Freight
1460,2024-10-20,Adobe Systems,cybersecurity tools,62999.67,Finance,IT Software
1461,2024-01-07,KPMG,management consulting project,130216.46,HR,Professional Services
1462,2024-04-01,Amazon Business,ergonomic chairs,7401.7,Operations,Office Supplies
1463,2024-06-12,ADP Workforce,benefits administration,11434.0,Marketing,HR & Training
1464,2024-01-27,Maersk,international freight QQ3,14044.9,IT,Logistics/Freight
1465,2024-08-26,KPMG,strategy engagement QQ1,19649.7,Marketing,Professional Services
1466,2024-07-07,Aramark,security services,14788.89,HR,Facilities
1467,2024-07-07,ABM Industries,security services,8792.35,Executive,Facilities
1468,2024-07-28,Marriott Hotels,sales team flights,1089.29,Operations,Travel
1469,2024-01-01,KPMG,management consulting project,143138.64,R&D,Professional Services
1470,2024-08-02,CBRE Group,security services,29527.24,Legal,Facilities
1471,2024-04-28,Office Depot,office supplies bulk order,829.25,Sales,Office Supplies
1472,2024-09-15,Dentsu Inc,digital advertising campaign,36942.38,IT,Marketing
1473,2024-03-07,WPP Group,creative production,41434.42,HR,Marketing
1474,2024-06-16,Aramark,cafeteria management QQ3,21620.32,Procurement,Facilities
1475,2024-03-10,United Airlines,executive travel QQ2,14209.77,Executive,Travel
1476,2024-06-09,FedEx Freight,domestic shipping services,12890.47,R&D,Logistics/Freight
1477,2024-08-25,Maersk,domestic shipping services,12942.18,Marketing,Logistics/Freight
1478,2024-12-22,DHL Express,warehouse storage fees,21180.51,Executive,Logistics/Freight
1479,2024-05-07,Office Depot,printer cartridges QQ3,1184.1,Procurement,Office Supplies
1480,2024-03-30,Omnicom Group,media buying QQ1,19309.17,Operations,Marketing
1481,2024-03-12,IPG Mediabrands,digital advertising campaign,30412.38,Finance,Marketing
1482,2024-07-24,Staples Inc,printer cartridges QQ2,1986.0,Procurement,Office Supplies
1483,2024-02-03,Maersk,international freight QQ3,3479.6,HR,Logistics/Freight
1484,2024-08-24,Marriott Hotels,hotel accommodations,2715.39,Operations,Travel
1485,2024-07-14,Atlassian,data analytics platform,42209.48,R&D,IT Software
1486,2024-08-16,Adobe Systems,cloud computing QQ2,25623.63,IT,IT Software
1487,2024-10-08,Quill Corp,stationery and paper,4241.69,Legal,Office Supplies
1488,2024-04-12,Staples Inc,ergonomic chairs,1529.27,Sales,Office Supplies
1489,2024-07-02,KPMG,strategy engagement QQ1,119468.21,Legal,Professional Services
1490,2024-07-17,ADP Workforce,payroll processing,21090.94,Marketing,HR & Training
1491,2024-05-23,Microsoft Azure,collaboration software,21426.51,Operations,IT Software
1492,2024-03-22,Hertz,conference registration,14994.48,Finance,Travel
1493,2024-01-29,McKinsey & Co,tax advisory services,124279.92,HR,Professional Services
1494,2024-10-30,Cigna Corp,dental and vision coverage,47578.57,Procurement,Healthcare & Benefits
1495,2024-10-15,Celanese,specialty materials QQ1,114126.58,IT,Raw Materials
1496,2024-09-08,UnitedHealth Group,life insurance premium,72174.82,Operations,Healthcare & Benefits
1497,2024-09-26,DHL Express,freight forwarding services,7813.8,Legal,Logistics/Freight
1498,2024-03-31,W.B. Mason,printer cartridges QQ2,3055.69,Procurement,Office Supplies
1499,2024-03-13,Staples Inc,whiteboard supplies,5785.22,Finance,Office Supplies
1500,2024-12-05,Workday Inc,benefits administration,28772.44,R&D,HR & Training
